group_id,group_name,bot_role,integration,inquiry,shared_info_mention_count,unshared_info_mention_count,unshared_info_ratio
C5571377252460a5af0e8818e4892a7df,決策群組 #202,整合型AI,Y,N,4,5,0.2222222222222222
C57feede43126a741d630ecc50c26cc54,決策群組 #211,整合型AI,Y,N,5,4,0.16666666666666666
C6095bd80972eb0c0c2ed32437875ec65,決策群組 #303,探究型AI,N,Y,12,19,0.6111111111111112
C614bef7d79efded90c3dadc5990c676f,決策群組 #111,混合型AI,Y,Y,19,30,0.7777777777777778
C61cdbc661232f51129f6739fb9e1cfee,決策群組 #405,無介入AI,N,N,9,5,0.16666666666666666
C635b235715cf37365c1cc9f78af8abaa,決策群組 #214,整合型AI,Y,N,9,5,0.2777777777777778
C6ab11509d6554c1f6b4cc5fad686ab4d,決策群組 #301,探究型AI,N,Y,21,22,0.7222222222222222
C6cf2a310240749e3ae594efddfa44d88,決策群組 #413,無介入AI,N,N,3,7,0.2777777777777778
C6f8855729886418972bc4b641c178252,決策群組 #215,整合型AI,Y,N,4,6,0.16666666666666666
C71075578ec5a170a8552f59ed04a8c5b,決策群組 #204,整合型AI,Y,N,5,6,0.3333333333333333
C780ea2a6e306c6d630351cf1a431a771,決策群組 #107,混合型AI,Y,Y,8,5,0.2777777777777778
C7dfeb7f5dd4bef2d0b3475ca5c49e949,決策群組 #308,探究型AI,N,Y,19,11,0.3888888888888889
C8294a7e825863b4b2988144d38ae9ed9,決策群組 #304,探究型AI,N,Y,5,5,0.2777777777777778
C8b8319596005bf324038f6b2ae4c1e0d,決策群組 #110,混合型AI,Y,Y,12,18,0.8888888888888888
C955629a7d6e6a68365a4ee8c044e4ec6,決策群組 #407,無介入AI,N,N,5,5,0.2777777777777778
C95a198dc4e0b530fc7fa9b6e14231e13,決策群組 #311,探究型AI,N,Y,25,32,0.9444444444444444
C970054dd71b3f7b5893e1c33fd09206a,決策群組 #212,整合型AI,Y,N,13,16,0.5555555555555556
C9831abbff16c5c142795900ed632416c,決策群組 #206,整合型AI,Y,N,3,2,0.1111111111111111
C9e3bccb6633c9d9d9544efc28e00ec74,決策群組 #207,整合型AI,Y,N,9,8,0.2777777777777778
C9eb6274a194ff0687b301f99b490a1a9,決策群組 #109,混合型AI,Y,Y,4,2,0.1111111111111111
Ca30843e3ffaab395315a0893f00b526d,決策群組 #401,無介入AI,N,N,8,8,0.2777777777777778
Cafe15ed3a01c8f0f9302fac7f3123f78,決策群組 #414,無介入AI,N,N,9,9,0.3333333333333333
Cc049074471ef8eaded189219a1e943c9,決策群組 #404,無介入AI,N,N,25,22,0.6666666666666666
Cc434ac7473bcd0864a27277f37cff948,決策群組 #203,整合型AI,Y,N,5,7,0.3888888888888889
Cc88a4ba7bbecbd979a60c17ce4ea06b1,決策群組 #106,混合型AI,Y,Y,13,12,0.5
Cc9b4c43a669c37c0bb42a253361d38c9,決策群組 #208,整合型AI,Y,N,11,2,0.1111111111111111
Ccc164e34dfb321a3d5194d24ff71c758,決策群組 #315,探究型AI,N,Y,6,11,0.3888888888888889
Cd13a30eb40e49c5d68738707c05a7697,決策群組 #102,混合型AI,Y,Y,14,16,0.4444444444444444
Cd30ced64d4aec515f7c494f0a7ec68a6,決策群組 #302,探究型AI,N,Y,6,7,0.2777777777777778
Cd3f2df964de0fbc4f92704cd803bf8c6,決策群組 #104,混合型AI,Y,Y,5,6,0.2222222222222222
Cd3f5411159af53565b280003586602ea,決策群組 #409,無介入AI,N,N,2,5,0.2222222222222222
Cd4bcbd7682f05f2eb3ad2474c24aaaed,決策群組 #103,混合型AI,Y,Y,16,21,0.7222222222222222
Cd7666516ba2b9445ef855462a3a3e045,決策群組 #213,整合型AI,Y,N,6,4,0.2222222222222222
Cd9e0f55efd971d55558149dcac5dde48,決策群組 #402,無介入AI,N,N,2,3,0.1111111111111111
Cdc1723e98268a7601bfebc2a464da358,決策群組 #310,探究型AI,N,Y,7,8,0.3333333333333333
Ce24f1302eaa378b269db08a39a16a4e4,決策群組 #309,探究型AI,N,Y,9,14,0.5
Ce46794439cc2ab6709b591a743db4608,決策群組 #205,整合型AI,Y,N,21,26,0.8333333333333334
Ce6f41b76375fde125ab931e42038239c,決策群組 #306,探究型AI,N,Y,12,15,0.5
Cea6105c5f9bafde7ca52247503112386,決策群組 #101,混合型AI,Y,Y,8,9,0.3888888888888889
Ceb09482282ce517ad5f8a49bb6ceb833,決策群組 #210,整合型AI,Y,N,14,14,0.6111111111111112
Cf4caf73277dfa399260e6be8931fbf5d,決策群組 #408,無介入AI,N,N,3,4,0.16666666666666666
Cf5b19f3ffb0ee4029ae8a790dbd73dc3,決策群組 #201,整合型AI,Y,N,10,11,0.3888888888888889
Cf7af6c1127223a863644b31657df9a96,決策群組 #209,整合型AI,Y,N,18,12,0.3888888888888889
