final_choice,timestamp_final,user_id,initial_choice,position,timestamp,vote_type,group_id,bot_role,group_name
Nancy,2025-11-01T02:33:24.960931+00:00,Ud8e1da846c17202b255444d1dc88e268,Nancy,行銷長,2025-11-01T02:17:21.608343+00:00,final,C1914426912dfb4ef4a77e91751677d19,無介入AI,決策群組 #403
Nancy,2025-11-01T02:33:25.219194+00:00,Uf8fa25fa4701c81c51221f28da8c128e,Nancy,人資長,2025-11-01T02:17:19.407296+00:00,final,C1914426912dfb4ef4a77e91751677d19,無介入AI,決策群組 #403
Sally,2025-11-13T14:04:22.797642+00:00,U7efdf8f5b09848025653e60f5d03c344,Nancy,行銷長,2025-11-13T13:26:19.371393+00:00,final,C1baf1f0e6c4d348a20289de34fe7e576,混合型AI,決策群組 #113
Sally,2025-11-13T14:04:16.681062+00:00,U8a76c1ac0dbb4b06c438ff369cfa3aa1,Sally,人資長,2025-11-13T13:26:19.684424+00:00,final,C1baf1f0e6c4d348a20289de34fe7e576,混合型AI,決策群組 #113
Sally,2025-11-13T14:04:20.594139+00:00,Ud40b29d2f3a837cd7f0dc235ee19286b,Amy,營運長,2025-11-13T13:26:24.332760+00:00,final,C1baf1f0e6c4d348a20289de34fe7e576,混合型AI,決策群組 #113
Nancy,2025-11-02T06:42:40.772136+00:00,U6175dde5deb0d7517f36607b54cfe08f,Sally,人資長,2025-11-02T06:27:16.386505+00:00,final,C1c27eaa26b1c41de93c597c0525bd513,混合型AI,決策群組 #105
Nancy,2025-11-02T06:42:43.811966+00:00,U65b22f32b6f6a78e80729aba0c19c9c2,Sally,行銷長,2025-11-02T06:27:27.512461+00:00,final,C1c27eaa26b1c41de93c597c0525bd513,混合型AI,決策群組 #105
Nancy,2025-11-02T06:42:37.212687+00:00,Uc77058c3e5eed788098d6ab665b262cb,Amy,營運長,2025-11-02T06:27:21.220982+00:00,final,C1c27eaa26b1c41de93c597c0525bd513,混合型AI,決策群組 #105
Nancy,2025-11-13T11:43:32.153309+00:00,U61e9362eee51e55a6ff35cecb8490e64,Sally,人資長,2025-11-13T11:27:10.697015+00:00,final,C1d5d0f277be77aa5d85ab15894d917ea,無介入AI,決策群組 #412
Nancy,2025-11-13T11:43:36.504556+00:00,U6ebbbf11b4a7c6ab5ce2ec6ca4adcf5a,Amy,行銷長,2025-11-13T11:27:14.041432+00:00,final,C1d5d0f277be77aa5d85ab15894d917ea,無介入AI,決策群組 #412
Nancy,2025-11-13T11:43:33.918632+00:00,Ub49eb81ccb2dc449874a2a0e5f703b4f,Nancy,營運長,2025-11-13T11:27:06.348370+00:00,final,C1d5d0f277be77aa5d85ab15894d917ea,無介入AI,決策群組 #412
Nancy,2025-11-07T08:51:55.879517+00:00,U9ba1708d56d54abf7c3ac3ad23d059e3,Amy,行銷長,2025-11-07T08:28:18.499278+00:00,final,C1e531afa407b20112c03f9d274911049,混合型AI,決策群組 #108
Nancy,2025-11-07T08:51:49.347554+00:00,Ubc16ec376f8c96aec83e699c587e2fe4,Nancy,人資長,2025-11-07T08:28:08.309694+00:00,final,C1e531afa407b20112c03f9d274911049,混合型AI,決策群組 #108
Nancy,2025-11-07T08:51:52.445119+00:00,Ufaeece9f007a21c39ed828ba370b8e34,Sally,營運長,2025-11-07T08:28:11.806894+00:00,final,C1e531afa407b20112c03f9d274911049,混合型AI,決策群組 #108
Nancy,2025-11-16T12:43:05.024541+00:00,U18c942e0d3fda109cc07ba147c05cc63,Sally,人資長,2025-11-16T12:21:45.345644+00:00,final,C2b4b9f4d304b3c5c34dfa83c32363a0f,無介入AI,決策群組 #410
Nancy,2025-11-16T12:43:04.320024+00:00,Ua60d7a6adecd8cb35f9f321e391c2e7b,Nancy,行銷長,2025-11-16T12:20:57.069015+00:00,final,C2b4b9f4d304b3c5c34dfa83c32363a0f,無介入AI,決策群組 #410
Nancy,2025-11-16T12:43:07.543865+00:00,Uc4d9f4e0e6c48a8c82fbb68473dd09fe,Sally,營運長,2025-11-16T12:21:04.623493+00:00,final,C2b4b9f4d304b3c5c34dfa83c32363a0f,無介入AI,決策群組 #410
Nancy,2025-11-12T09:54:01.245412+00:00,U2293b5ffea7c925917fb2c653466b307,Sally,營運長,2025-11-12T09:24:20.499205+00:00,final,C3269718862929fa4b7ae132df9294c3f,混合型AI,決策群組 #112
Nancy,2025-11-12T09:53:59.607193+00:00,U5c387b305a5995d47643445b37235c82,Sally,行銷長,2025-11-12T09:24:30.562789+00:00,final,C3269718862929fa4b7ae132df9294c3f,混合型AI,決策群組 #112
Nancy,2025-11-12T09:53:59.313495+00:00,U65e2a2a37c36422328243ce8f6d37662,Sally,人資長,2025-11-12T09:24:13.484894+00:00,final,C3269718862929fa4b7ae132df9294c3f,混合型AI,決策群組 #112
Sally,2025-11-03T12:26:55.505502+00:00,U03d1a8bc1dca851799e81f83383d1d29,Sally,營運長,2025-11-03T11:51:39.162653+00:00,final,C3434eb8fbfb63a98ed8a39a706f3bf8c,探究型AI,決策群組 #305
Sally,2025-11-03T12:26:52.816488+00:00,U08fa73daed738db62bbcd91a3451fae1,Nancy,行銷長,2025-11-03T11:51:41.964896+00:00,final,C3434eb8fbfb63a98ed8a39a706f3bf8c,探究型AI,決策群組 #305
Sally,2025-11-03T12:26:50.596090+00:00,U844f50424e609d1b2dec415665f747f3,Nancy,人資長,2025-11-03T11:51:36.330675+00:00,final,C3434eb8fbfb63a98ed8a39a706f3bf8c,探究型AI,決策群組 #305
Nancy,2025-11-05T11:51:56.668447+00:00,U6f20cef88265081384f0dab6c24986ec,Sally,營運長,2025-11-05T11:25:59.571361+00:00,final,C36a6352cacd6db2286cf7c98f45e8457,無介入AI,決策群組 #406
Nancy,2025-11-05T11:51:59.638065+00:00,Ue7fa76e42824ce48486d2b3419f573f1,Nancy,行銷長,2025-11-05T11:26:02.405751+00:00,final,C36a6352cacd6db2286cf7c98f45e8457,無介入AI,決策群組 #406
Nancy,2025-11-05T11:51:53.869803+00:00,Uf375d005747cee6a92c87999bdcbd095,Nancy,人資長,2025-11-05T11:25:56.008557+00:00,final,C36a6352cacd6db2286cf7c98f45e8457,無介入AI,決策群組 #406
Nancy,2025-11-15T15:02:20.820661+00:00,U5679475eaab3b79a7a1cdc83164fb459,Nancy,人資長,2025-11-15T14:27:20.010469+00:00,final,C3b6edf4a772c4193e7bbc34d26945fb7,無介入AI,決策群組 #415
Nancy,2025-11-15T15:02:21.048460+00:00,U747ab533c567b6087f6ba6f75ff4038b,Nancy,營運長,2025-11-15T14:28:32.886973+00:00,final,C3b6edf4a772c4193e7bbc34d26945fb7,無介入AI,決策群組 #415
Nancy,2025-11-15T15:02:24.399606+00:00,Ub6c4b47823114b3cfd7577f65e164e81,Nancy,行銷長,2025-11-15T14:27:22.045942+00:00,final,C3b6edf4a772c4193e7bbc34d26945fb7,無介入AI,決策群組 #415
Nancy,2025-11-14T07:09:17.503175+00:00,U986aed123d3d39c33e618e4e511b39e0,Nancy,人資長,2025-11-14T06:52:38.340741+00:00,final,C404f6609fe3a8108db25125fc34bfedc,探究型AI,決策群組 #313
Nancy,2025-11-14T07:09:17.919615+00:00,Ub6c064abb41fede0d54a7f1ad2ea91e7,Nancy,營運長,2025-11-14T06:52:41.812552+00:00,final,C404f6609fe3a8108db25125fc34bfedc,探究型AI,決策群組 #313
Nancy,2025-11-14T07:09:15.720355+00:00,Ucd7476645b1f4c9af4dbb96389ccdbd4,Sally,行銷長,2025-11-14T06:52:39.724521+00:00,final,C404f6609fe3a8108db25125fc34bfedc,探究型AI,決策群組 #313
Amy,2025-11-12T08:24:41.256330+00:00,Ucdac3e73af7389189549f384bb1d4193,Nancy,行銷長,2025-11-12T07:52:28.279904+00:00,final,C4e6617d83a3025ffd2bb4fd9704eb2d3,無介入AI,決策群組 #411
Amy,2025-11-12T08:24:39.474965+00:00,Uea174dd8bed9448bcecd4f301f0817f2,Sally,人資長,2025-11-12T07:52:24.056436+00:00,final,C4e6617d83a3025ffd2bb4fd9704eb2d3,無介入AI,決策群組 #411
Amy,2025-11-12T08:24:45.521581+00:00,Uf8bbb2bf1b5a6e04609354bdbc4bcf2f,Amy,營運長,2025-11-12T07:52:32.047872+00:00,final,C4e6617d83a3025ffd2bb4fd9704eb2d3,無介入AI,決策群組 #411
Amy,2025-11-12T13:29:31.286983+00:00,U99d1f76e98d144475101cf60d4a4d7e4,Amy,營運長,2025-11-12T13:03:46.035956+00:00,final,C50895ec6f864c3750012782d64b379dd,探究型AI,決策群組 #312
Amy,2025-11-12T13:29:36.364875+00:00,Ua24c44c74b5996de0011bff0ab8cc1c9,Nancy,行銷長,2025-11-12T13:03:47.815904+00:00,final,C50895ec6f864c3750012782d64b379dd,探究型AI,決策群組 #312
Amy,2025-11-12T13:29:33.765256+00:00,Ufbddf19a845aaecc216dfb6b7f088cee,Sally,人資長,2025-11-12T13:03:40.245823+00:00,final,C50895ec6f864c3750012782d64b379dd,探究型AI,決策群組 #312
Nancy,2025-10-30T12:02:03.377204+00:00,U07cf36fd44a5f236dd6c063257a2b97c,Nancy,營運長,2025-10-30T11:28:43.708009+00:00,final,C5571377252460a5af0e8818e4892a7df,整合型AI,決策群組 #202
Nancy,2025-10-30T12:01:47.444856+00:00,U77d8df2ef89d2479725c5f51e611437b,Amy,人資長,2025-10-30T11:28:30.517361+00:00,final,C5571377252460a5af0e8818e4892a7df,整合型AI,決策群組 #202
Nancy,2025-10-30T12:02:05.758144+00:00,U8bf28e3bb3bea390315c40d5902dedb7,Sally,行銷長,2025-10-30T11:28:48.001827+00:00,final,C5571377252460a5af0e8818e4892a7df,整合型AI,決策群組 #202
Amy,2025-11-11T11:56:11.958610+00:00,U00de8798db4d5d732603aca64cc580b0,Amy,營運長,2025-11-11T11:24:24.753112+00:00,final,C57feede43126a741d630ecc50c26cc54,整合型AI,決策群組 #211
Amy,2025-11-11T11:56:16.345514+00:00,U2fc60e1f3ed98a7ee2068ccec28b316d,Sally,行銷長,2025-11-11T11:24:21.800176+00:00,final,C57feede43126a741d630ecc50c26cc54,整合型AI,決策群組 #211
Amy,2025-11-11T11:56:14.158380+00:00,Ueaaa465d1eb2df61df85cb2fb49624e6,Sally,人資長,2025-11-11T11:24:33.222224+00:00,final,C57feede43126a741d630ecc50c26cc54,整合型AI,決策群組 #211
Amy,2025-10-31T13:50:09.322184+00:00,U3dce7fc7325c89cd1b97deff1d7ba75b,Sally,行銷長,2025-10-31T13:21:22.443916+00:00,final,C6095bd80972eb0c0c2ed32437875ec65,探究型AI,決策群組 #303
Amy,2025-10-31T13:50:11.617078+00:00,U41564702085c1093615df81696b0e673,Amy,人資長,2025-10-31T13:21:21.780349+00:00,final,C6095bd80972eb0c0c2ed32437875ec65,探究型AI,決策群組 #303
Amy,2025-10-31T13:50:14.095879+00:00,U7dc18ecebe7594db9e480950697e26f1,Sally,營運長,2025-10-31T13:21:24.115098+00:00,final,C6095bd80972eb0c0c2ed32437875ec65,探究型AI,決策群組 #303
Nancy,2025-11-11T09:56:48.286034+00:00,U1406e5068c6636f7c04b00235e96065a,Amy,營運長,2025-11-11T09:24:15.237026+00:00,final,C614bef7d79efded90c3dadc5990c676f,混合型AI,決策群組 #111
Nancy,2025-11-11T09:56:49.866349+00:00,U575824a8d914a74f8f17aa429b68018d,Sally,行銷長,2025-11-11T09:24:11.438950+00:00,final,C614bef7d79efded90c3dadc5990c676f,混合型AI,決策群組 #111
Nancy,2025-11-11T09:56:47.370310+00:00,Uc78a3d221a24f54e3896814a2c3c0cb6,Nancy,人資長,2025-11-11T09:24:09.771096+00:00,final,C614bef7d79efded90c3dadc5990c676f,混合型AI,決策群組 #111
Sally,2025-11-03T14:09:58.406564+00:00,U2e890cf12718c98da24379d8376bdd38,Sally,營運長,2025-11-03T13:53:40.549006+00:00,final,C61cdbc661232f51129f6739fb9e1cfee,無介入AI,決策群組 #405
Sally,2025-11-03T14:09:58.764853+00:00,U8387ea06dc46e60f211bb8c21e56efb0,Nancy,行銷長,2025-11-03T13:53:43.377088+00:00,final,C61cdbc661232f51129f6739fb9e1cfee,無介入AI,決策群組 #405
Sally,2025-11-03T14:09:56.225413+00:00,Ufe93dfc98c1a3e71c051d77c828c5c77,Sally,人資長,2025-11-03T13:53:38.559134+00:00,final,C61cdbc661232f51129f6739fb9e1cfee,無介入AI,決策群組 #405
Sally,2025-11-14T13:18:08.535895+00:00,U6015c03e8455f851d6fb8687d6863465,Nancy,行銷長,2025-11-14T12:50:32.065202+00:00,final,C635b235715cf37365c1cc9f78af8abaa,整合型AI,決策群組 #214
Sally,2025-11-14T13:18:06.088259+00:00,U777341e3b2103327ecff38647cda6c26,Amy,營運長,2025-11-14T12:50:29.526803+00:00,final,C635b235715cf37365c1cc9f78af8abaa,整合型AI,決策群組 #214
Sally,2025-11-14T13:18:03.542992+00:00,Ud7444647f77ed3e35eee318ffd0537d9,Sally,人資長,2025-11-14T12:50:27.086006+00:00,final,C635b235715cf37365c1cc9f78af8abaa,整合型AI,決策群組 #214
Nancy,2025-10-28T09:53:36.515791+00:00,U22b316ded4fcb5267001b96b42d3d6c5,Nancy,人資長,2025-10-28T09:26:14.692401+00:00,final,C6ab11509d6554c1f6b4cc5fad686ab4d,探究型AI,決策群組 #301
Nancy,2025-10-28T09:53:40.883827+00:00,U3c65edc67c83ddd14eae861089c73b7c,Sally,行銷長,2025-10-28T09:26:46.406622+00:00,final,C6ab11509d6554c1f6b4cc5fad686ab4d,探究型AI,決策群組 #301
Nancy,2025-10-28T09:53:38.493063+00:00,U4bbcfea95de0a61880cc210587c4c724,Amy,營運長,2025-10-28T09:26:37.665199+00:00,final,C6ab11509d6554c1f6b4cc5fad686ab4d,探究型AI,決策群組 #301
Nancy,2025-11-14T08:34:56.325463+00:00,U2e64af06985ecfff475a703f110deb57,Sally,營運長,2025-11-14T08:21:18.575408+00:00,final,C6cf2a310240749e3ae594efddfa44d88,無介入AI,決策群組 #413
Nancy,2025-11-14T08:34:54.104626+00:00,U78b53cda274f1bab3a6b77854d16bd92,Nancy,行銷長,2025-11-14T08:21:22.213784+00:00,final,C6cf2a310240749e3ae594efddfa44d88,無介入AI,決策群組 #413
Nancy,2025-11-14T08:34:58.167621+00:00,Uefa588f827bb38b22c7397c8ae709e42,Sally,人資長,2025-11-14T08:21:20.018031+00:00,final,C6cf2a310240749e3ae594efddfa44d88,無介入AI,決策群組 #413
Amy,2025-11-15T09:44:10.994969+00:00,U5818f76443f9c97ae13730656320482c,Amy,行銷長,2025-11-15T09:28:29.576581+00:00,final,C6f8855729886418972bc4b641c178252,整合型AI,決策群組 #215
Amy,2025-11-15T09:44:09.896266+00:00,U617d2da99adea7982593ac4204c237dd,Sally,人資長,2025-11-15T09:28:25.646519+00:00,final,C6f8855729886418972bc4b641c178252,整合型AI,決策群組 #215
Amy,2025-11-15T09:44:12.832951+00:00,Ua75108c9a433af29cf28a9c5104ccafd,Amy,營運長,2025-11-15T09:28:27.530825+00:00,final,C6f8855729886418972bc4b641c178252,整合型AI,決策群組 #215
Nancy,2025-11-01T09:48:48.827953+00:00,U04272d4e22a90e02e3f121ac88e66702,Nancy,營運長,2025-11-01T09:31:12.186600+00:00,final,C71075578ec5a170a8552f59ed04a8c5b,整合型AI,決策群組 #204
Nancy,2025-11-01T09:48:46.891338+00:00,U15cc6bd653667c3d68254e9263082839,Nancy,人資長,2025-11-01T09:31:10.129862+00:00,final,C71075578ec5a170a8552f59ed04a8c5b,整合型AI,決策群組 #204
Nancy,2025-11-01T09:48:52.601960+00:00,U5f148e1451d2d136bcd7c1894af373bd,Nancy,行銷長,2025-11-01T09:31:23.936171+00:00,final,C71075578ec5a170a8552f59ed04a8c5b,整合型AI,決策群組 #204
Sally,2025-11-05T13:49:56.377896+00:00,U2f56b4a620eafc341eb61032f68c6fd4,Nancy,人資長,2025-11-05T13:25:03.617705+00:00,final,C780ea2a6e306c6d630351cf1a431a771,混合型AI,決策群組 #107
Sally,2025-11-05T13:49:57.303412+00:00,Ua12c58c40f0b334e9b2c4d60860db12f,Sally,營運長,2025-11-05T13:25:09.630612+00:00,final,C780ea2a6e306c6d630351cf1a431a771,混合型AI,決策群組 #107
Sally,2025-11-05T13:50:00.499322+00:00,Uaa0e439fb4e5f242cdd1efff94a30687,Sally,行銷長,2025-11-05T13:25:12.178553+00:00,final,C780ea2a6e306c6d630351cf1a431a771,混合型AI,決策群組 #107
Nancy,2025-11-07T14:00:59.557805+00:00,U0b9e0ebca13606a4fc4220c0c30a9958,Amy,行銷長,2025-11-07T13:26:41.741169+00:00,final,C7dfeb7f5dd4bef2d0b3475ca5c49e949,探究型AI,決策群組 #308
Nancy,2025-11-07T14:00:57.341522+00:00,Uc00be7d891f918c10a23d46307751f9e,Nancy,人資長,2025-11-07T13:26:43.559778+00:00,final,C7dfeb7f5dd4bef2d0b3475ca5c49e949,探究型AI,決策群組 #308
Nancy,2025-11-07T14:00:54.474600+00:00,Uc01b310b5ba29c5cb48c9f62c2c0a1e2,Amy,營運長,2025-11-07T13:26:38.356482+00:00,final,C7dfeb7f5dd4bef2d0b3475ca5c49e949,探究型AI,決策群組 #308
Sally,2025-11-01T11:50:24.631304+00:00,U0de8d14d2d2321077272cbe6a671c560,Amy,人資長,2025-11-01T11:29:37.275313+00:00,final,C8294a7e825863b4b2988144d38ae9ed9,探究型AI,決策群組 #304
Sally,2025-11-01T11:50:22.893501+00:00,U8788f256f5ee4d5cd2782930ecb55d6a,Sally,營運長,2025-11-01T11:29:42.138541+00:00,final,C8294a7e825863b4b2988144d38ae9ed9,探究型AI,決策群組 #304
Sally,2025-11-01T11:50:20.251915+00:00,Ub8edbdeee6ed044d31d77c64e0559d39,Nancy,行銷長,2025-11-01T11:29:44.996891+00:00,final,C8294a7e825863b4b2988144d38ae9ed9,探究型AI,決策群組 #304
Nancy,2025-11-08T13:56:31.961659+00:00,U22d7417c525083b5de3cc6d3cd8c26ce,Sally,營運長,2025-11-08T13:19:53.719050+00:00,final,C8b8319596005bf324038f6b2ae4c1e0d,混合型AI,決策群組 #110
Nancy,2025-11-08T13:56:27.203223+00:00,Ub30357f4e846c0bd45e7cc5669e0eb92,Sally,人資長,2025-11-08T13:19:50.815462+00:00,final,C8b8319596005bf324038f6b2ae4c1e0d,混合型AI,決策群組 #110
Nancy,2025-11-08T13:56:23.294236+00:00,Ud1c7a0787acf32fc726dcccf16720064,Amy,行銷長,2025-11-08T13:19:55.837783+00:00,final,C8b8319596005bf324038f6b2ae4c1e0d,混合型AI,決策群組 #110
Nancy,2025-11-07T06:46:34.123651+00:00,Ubd2f086f334edc0570f6d511816fea4b,Nancy,人資長,2025-11-07T06:26:54.452430+00:00,final,C955629a7d6e6a68365a4ee8c044e4ec6,無介入AI,決策群組 #407
Nancy,2025-11-07T06:46:34.575350+00:00,Uc860c1075b72f62d90b70107e67c64e1,Nancy,營運長,2025-11-07T06:26:52.408030+00:00,final,C955629a7d6e6a68365a4ee8c044e4ec6,無介入AI,決策群組 #407
Nancy,2025-11-07T06:46:31.850683+00:00,Ucb2b75d41af3723311998fe6239e8f13,Nancy,行銷長,2025-11-07T06:27:13.659255+00:00,final,C955629a7d6e6a68365a4ee8c044e4ec6,無介入AI,決策群組 #407
Nancy,2025-11-12T06:42:10.045460+00:00,U6d1ee9d3062ec92d2b146ad01ef0c7d3,Sally,人資長,2025-11-12T06:26:28.175166+00:00,final,C95a198dc4e0b530fc7fa9b6e14231e13,探究型AI,決策群組 #311
Nancy,2025-11-12T06:42:05.602910+00:00,U866e0343b67db96e59dfa0335c6fb81d,Nancy,營運長,2025-11-12T06:26:32.889736+00:00,final,C95a198dc4e0b530fc7fa9b6e14231e13,探究型AI,決策群組 #311
Nancy,2025-11-12T06:42:07.752589+00:00,Ub49e9001df8ade40baa78b8d1d993611,Nancy,行銷長,2025-11-12T06:26:24.423906+00:00,final,C95a198dc4e0b530fc7fa9b6e14231e13,探究型AI,決策群組 #311
Nancy,2025-11-16T02:42:07.521634+00:00,U7cab652aa123b23a519e16df4cc699cf,Amy,營運長,2025-11-16T02:21:49.245596+00:00,final,C970054dd71b3f7b5893e1c33fd09206a,整合型AI,決策群組 #212
Nancy,2025-11-16T02:42:11.925198+00:00,U94b6d9a81e2b611367d96dbb10258049,Nancy,行銷長,2025-11-16T02:21:52.968610+00:00,final,C970054dd71b3f7b5893e1c33fd09206a,整合型AI,決策群組 #212
Nancy,2025-11-16T02:42:09.261753+00:00,Udbe8ae15e84006d67a718ecd82ee9e2e,Amy,人資長,2025-11-16T02:21:47.364327+00:00,final,C970054dd71b3f7b5893e1c33fd09206a,整合型AI,決策群組 #212
Sally,2025-11-04T09:45:58.590290+00:00,U142ced012f9c196f84c319f691343a78,Nancy,行銷長,2025-11-04T09:28:20.193928+00:00,final,C9831abbff16c5c142795900ed632416c,整合型AI,決策群組 #206
Sally,2025-11-04T09:45:54.711345+00:00,Uad4f40d4593aa94225469f2e818b3311,Sally,人資長,2025-11-04T09:28:17.976674+00:00,final,C9831abbff16c5c142795900ed632416c,整合型AI,決策群組 #206
Sally,2025-11-04T09:45:56.911288+00:00,Ud8d97b898520f801d9e182cd63113d22,Nancy,營運長,2025-11-04T09:28:39.723786+00:00,final,C9831abbff16c5c142795900ed632416c,整合型AI,決策群組 #206
Nancy,2025-11-06T11:50:32.329723+00:00,U2e014f39b874b4ce5dddf827518dd99a,Nancy,營運長,2025-11-06T11:20:27.174637+00:00,final,C9e3bccb6633c9d9d9544efc28e00ec74,整合型AI,決策群組 #207
Nancy,2025-11-06T11:50:32.664331+00:00,U2ef22b4668d233d6cb9b12ef5f586e1d,Nancy,人資長,2025-11-06T11:20:22.577900+00:00,final,C9e3bccb6633c9d9d9544efc28e00ec74,整合型AI,決策群組 #207
Nancy,2025-11-06T11:50:29.474706+00:00,Uc685d1fb80ea3db50f1174f9548e09c9,Sally,行銷長,2025-11-06T11:20:30.881383+00:00,final,C9e3bccb6633c9d9d9544efc28e00ec74,整合型AI,決策群組 #207
Sally,2025-11-08T06:39:07.480539+00:00,U32c95e6b2ab46fb6b1a77ed6cc3cc402,Sally,行銷長,2025-11-08T06:23:16.990397+00:00,final,C9eb6274a194ff0687b301f99b490a1a9,混合型AI,決策群組 #109
Sally,2025-11-08T06:39:00.851199+00:00,Uda41c7f165bcc04c5c09fce254caf28a,Sally,營運長,2025-11-08T06:23:19.775740+00:00,final,C9eb6274a194ff0687b301f99b490a1a9,混合型AI,決策群組 #109
Sally,2025-11-08T06:39:03.322657+00:00,Uedf54dfe1dbac7ddf9e21d7942f8f77d,Sally,人資長,2025-11-08T06:23:25.659257+00:00,final,C9eb6274a194ff0687b301f99b490a1a9,混合型AI,決策群組 #109
Nancy,2025-10-29T10:00:05.476063+00:00,U22d5426a24bc639816e0a41264872414,Nancy,行銷長,2025-10-29T09:24:40.786650+00:00,final,Ca30843e3ffaab395315a0893f00b526d,無介入AI,決策群組 #401
Nancy,2025-10-29T09:59:57.025385+00:00,U27a91d8652ddafcc92a25ae072fe17d7,Nancy,人資長,2025-10-29T09:24:34.040077+00:00,final,Ca30843e3ffaab395315a0893f00b526d,無介入AI,決策群組 #401
Nancy,2025-10-29T10:00:01.828199+00:00,U8195fe47f17cca8f4b01c04b092b0f68,Amy,營運長,2025-10-29T09:24:38.853219+00:00,final,Ca30843e3ffaab395315a0893f00b526d,無介入AI,決策群組 #401
Nancy,2025-11-15T06:34:51.884032+00:00,Uca8ae3ba6c818077f3716166c14c90a6,Sally,人資長,2025-11-15T06:20:10.462386+00:00,final,Cafe15ed3a01c8f0f9302fac7f3123f78,無介入AI,決策群組 #414
Nancy,2025-11-15T06:34:51.459043+00:00,Ue510049adb293d2d154b0ea446189b78,Nancy,行銷長,2025-11-15T06:20:12.993327+00:00,final,Cafe15ed3a01c8f0f9302fac7f3123f78,無介入AI,決策群組 #414
Nancy,2025-11-15T06:34:49.563238+00:00,Ueabeb4987b049133edbf626ad54e10af,Amy,營運長,2025-11-15T06:20:15.319913+00:00,final,Cafe15ed3a01c8f0f9302fac7f3123f78,無介入AI,決策群組 #414
Nancy,2025-11-02T02:56:00.357487+00:00,U21cd0e07b2449e59e7eded897619efe0,Nancy,營運長,2025-11-02T02:20:56.077409+00:00,final,Cc049074471ef8eaded189219a1e943c9,無介入AI,決策群組 #404
Nancy,2025-11-02T02:56:02.252413+00:00,Ub22d94d6e5555d9c78eaa7f485c84955,Nancy,行銷長,2025-11-02T02:21:00.140975+00:00,final,Cc049074471ef8eaded189219a1e943c9,無介入AI,決策群組 #404
Nancy,2025-11-02T02:56:03.816482+00:00,Uf50cb9cb36599f13427f853de64157fa,Nancy,人資長,2025-11-02T02:20:53.504244+00:00,final,Cc049074471ef8eaded189219a1e943c9,無介入AI,決策群組 #404
